Custom,Personalizado
"Rebuild Flat Catalog Category","Refazer Tabela Flat de Categorias"
"Rebuild Flat Catalog Product","Refazer Tabela Flat de Produtos"
"Cache Control","Controle de Cache"
"All Cache","All Cache"
"No change","Sem mudanças"
Disable,Desabilitar
Enable,Habilitar
"Default Config","Configurações Padrão"
"Save Config","Salvar"
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[VISÃO]"
"Use Default","Usar Padrão"
"Use Website","Usar Website"
Add,Adicionar
"Delete File","Excluir Arquivo"
"Search String","Search String"
"Design Theme","Tema"
"Add \Exception","Add \Exceção"
"-- No Theme --","-- Sem Tema --"
Synchronize,Sincronizar
"Configuration","Configuração"
"Add Design Change","Novo"
Delete,Excluir
Save,Salvar
"Edit Design Change","Editar Mudanças de Design"
"New Store Design Change","Nova Mudança de Design"
"General Settings","Configuração Geral"
Store,Loja
"-- Please Select --","-- Selecione --"
"-- Please select --","-- Selecione --"
"Custom Design","Design Customizado"
"Date From","Início"
"Date To","Fim"
"Design Change","Mudanças no Design"
General,Geral
"Delete %1 '%2'","Excluir %1 '%2'"
"Delete %1","Excluir %1"
"Block Information","Bloco de Informações"
"Backup Options","Opções de Backup"
"Create DB Backup","Criar Backup do Banco"
Yes,Sim
"Delete Store","Exluir Loja"
"Delete Website"," Website"
"Save Website","Salvar"
"Save Store","Salvar"
"Save Store View","Salvar"
"Delete Store View","Excluir"
"Edit Website","Editar"
"New Website","Novo"
"Edit Store","Editar"
"New Store","Novo"
"Edit Store View","Editar"
"New Store View","Novo"
"Store Information","Informações da Loja"
"Website","Website"
Name,Nome
"Root Category","Categoria Raíz"
"Default Store View","Visão de Loja Padrão"
"Store View Information","Informação da Visão de Loja"
Code,Código
Status,Status
"Sort Order","Ordenar Pedidos"
"Website Information","Website Information"
"Default Store","Loja Padrão"
"Set as Default","Usar como Padrão"
Stores,Lojas
"Create Website","Criar Website"
"Create Store","Criar Loja"
"Create Store View","Criar Visão de Loja"
"Custom Variables","Variáveis Customizada"
"Add New Variable","Adicionar Nova Variável"
"Save and Continue Edit","Salvar e Continuar Editando"
"Custom Variable ""%1""","Variável Customizada ""%1"""
"New Custom Variable","Nova Variável Customizada"
Variable,Variável
"Variable Code","Código da Variável"
"Variable Name","Nome da Variável"
"Use Default Variable Values","Use Default Variable Values"
"Variable HTML Value","Variable HTML Value"
"Variable Plain Value","Variable Plain Value"
"URL Rewrite Management","URL Rewrite Management"
"Add URL Rewrite","Add URL Rewrite"
"Edit URL Rewrite for a Category","Edit URL Rewrite for a Category"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
Category:,Categoria:
"We can't set up a URL rewrite because the product you chose is not associated with a website.","We can't set up a URL rewrite because the product you chose is not associated with a website."
"We can't set up a URL rewrite because the category your chose is not associated with a website.","We can't set up a URL rewrite because the category your chose is not associated with a website."
"Edit URL Rewrite for a Product","Edit URL Rewrite for a Product"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
Product:,Produto:
"Skip Category Selection","Skip Category Selection"
"Edit URL Rewrite for CMS page","Edit URL Rewrite for CMS page"
"Add URL Rewrite for CMS page","Add URL Rewrite for CMS page"
"CMS page:"," Página CMS:"
"Chosen cms page does not associated with any website.","Chosen cms page does not associated with any website."
Title,Título
"Store View","Visão de Loja"
"Edit URL Rewrite","Edit URL Rewrite"
"Add New URL Rewrite","Add New URL Rewrite"
"URL Rewrite Information","Informações de Reescrita de URL"
Type,Tipo
"ID Path","ID Path"
"Request Path","Caminho de Requisição"
"Target Path","Caminho Alvo"
Redirect,Redirecionar
Description,Descrição
"For category","For category"
"For product","For product"
"For CMS page","For CMS page"
"Create URL Rewrite:","Criar Reescrita de URL:"
"Global Attribute","Atributo Global"
"This attribute shares the same value in all stores.","This attribute shares the same value in all stores."
Home,Home
"Add New Image","Add New Image"
"Reset Filter","Limpar Filtro"
Search,Buscar
Any,Qualquer
"All Countries","All Countries"
From,De
from,de
To,Até
to,até
From:,De:
To:,Para:
"Date selector","Date selector"
"[ deleted ]","[ deletado ]"
"Select All","Selecionar Tudo"
"Select all","Selecionar Tudo"
"Deselect All","Desselecionar Tudo"
"Deselect all","Desselecionar Tudo"
" [deleted]"," [deletado]"
"We couldn\'t find any records.","Não há registros."
"We couldn't find any records.","Não há registros."
"Add New","Adiconar Novo"
Export,Exportar
"Please correct the column format and try again.","Please correct the column format and try again."
"Please select items.","Por favor selecionar items."
Submit,Enviar
"Please correct the tab configuration and try again.","Please correct the tab configuration and try again."
"You have logged out.","You have logged out."
"Cache Management","Gerenciamento de Cache"
"You flushed the cache storage.","You flushed the cache storage."
"The Magento cache storage has been flushed.","Cache limpo com sucesso."
"%1 cache type(s) enabled.","%1 cache type(s) enabled."
"An error occurred while enabling cache.","An error occurred while enabling cache."
"%1 cache type(s) disabled.","%1 cache type(s) disabled."
"An error occurred while disabling cache.","An error occurred while disabling cache."
"%1 cache type(s) refreshed.","%1 tipo(s) de cache atualizado(s)."
"An error occurred while refreshing cache.","An error occurred while refreshing cache."
"Specified cache type(s) don't exist: ","Specified cache type(s) don't exist: "
"The JavaScript/CSS cache has been cleaned.","The JavaScript/CSS cache has been cleaned."
"An error occurred while clearing the JavaScript/CSS cache.","An error occurred while clearing the JavaScript/CSS cache."
"The image cache was cleaned.","The image cache was cleaned."
"An error occurred while clearing the image cache.","An error occurred while clearing the image cache."
"Dashboard","Painel de Controle"
"invalid request","invalid request"
"see error log for details","see error log for details"
"Service unavailable: %1","Service unavailable: %1"
Error,Erro
"Access Denied","Acesso negado"
"You need more permissions to do this.","You need more permissions to do this."
"No search modules were registered","No search modules were registered"
"Please make sure that all global admin search modules are installed and activated.","Please make sure that all global admin search modules are installed and activated."
System,Sistema
"The account has been saved.","The account has been saved."
"An error occurred while saving account.","An error occurred while saving account."
"This section is not allowed.","This section is not allowed."
"You saved the configuration.","Configuração salva."
"You saved the block.","Salvo com sucesso."
"An error occurred while saving this configuration:","An error occurred while saving this configuration:"
"Synchronizing %1 to %2","Sicronizando %1 de %2"
Synchronizing...,Sincronizando...
"The timeout limit for response from synchronize process was reached.","The timeout limit for response from synchronize process was reached."
"Store Design","Store Design"
"Edit Store Design Change","Editar Mudanças Store Design"
"You saved the design change.","You saved the design change."
"You deleted the design change.","You deleted the design change."
"Cannot delete the design change.","Cannot delete the design change."
"Manage Stores","Manage Stores"
"The website does not exist.","The website does not exist."
"Before modifying the website code please make sure that it is not used in index.php.","Before modifying the website code please make sure that it is not used in index.php."
"The store does not exist","The store does not exist"
"Store view doesn't exist","A visão não existe"
"Before modifying the store view code please make sure that it is not used in index.php.","Before modifying the store view code please make sure that it is not used in index.php."
"New ","Novo "
"The website has been saved.","The website has been saved."
"The store has been saved.","The store has been saved."
"The store view has been saved","The store view has been saved"
"An error occurred while saving. Please review the error log.","An error occurred while saving. Please review the error log."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"This website cannot be deleted.","This website cannot be deleted."
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted.","This store view cannot be deleted."
"Unable to proceed. Please, try again","Unable to proceed. Please, try again"
"The website has been deleted.","The website has been deleted."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"The store has been deleted.","The store has been deleted."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"The store view has been deleted.","The store view has been deleted."
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"The database was backed up.","The database was backed up."
"We couldn't create a backup right now. Please try again later.","We couldn't create a backup right now. Please try again later."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1."
"You saved the custom variable.","You saved the custom variable."
"You deleted the custom variable.","You deleted the custom variable."
"URL Rewrites","Reescrita de URL"
"[New/Edit] URL Rewrite","[New/Edit] URL Rewrite"
"The URL Rewrite has been saved.","The URL Rewrite has been saved."
"An error occurred while saving URL Rewrite.","An error occurred while saving URL Rewrite."
"Chosen product does not associated with the chosen store or category.","Chosen product does not associated with the chosen store or category."
"Chosen category does not associated with the chosen store.","Chosen category does not associated with the chosen store."
"Chosen cms page does not associated with the chosen store.","Chosen cms page does not associated with the chosen store."
"The URL Rewrite has been deleted.","The URL Rewrite has been deleted."
"An error occurred while deleting URL Rewrite.","An error occurred while deleting URL Rewrite."
"Last 24 Hours","Últimas 24 Horas"
"Last 7 Days","Últimos 7 Dias"
"Current Month","Mês Atual"
"YTD","Este Ano"
"2YTD","2 Últimos Anos"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Authentication error occurred.","Authentication error occurred."
"Please specify the admin custom URL.","Please specify the admin custom URL."
"Invalid %1. %2","Invalid %1. %2"
"Value must be a URL or one of placeholders: %1","Value must be a URL or one of placeholders: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Specify a URL or path that starts with placeholder(s): %1, and ends with ""/""."
"%1 An empty value is allowed as well.","%1 An empty value is allowed as well."
"Specify a fully qualified URL.","Specify a fully qualified URL."
"Selected allowed currency ""%1"" is not available in installed currencies.","Selected allowed currency ""%1"" is not available in installed currencies."
"Default display currency ""%1"" is not available in allowed currencies.","Default display currency ""%1"" is not available in allowed currencies."
"Sorry, we haven't installed the base currency you selected.","Sorry, we haven't installed the base currency you selected."
"We can't save the Cron expression.","We can't save the Cron expression."
"Sorry, we haven't installed the default display currency you selected.","Sorry, we haven't installed the default display currency you selected."
"Sorry, the default display currency you selected in not available in allowed currencies.","Sorry, the default display currency you selected in not available in allowed currencies."
"Please correct the email address: ""%1"".","Please correct the email address: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","The sender name ""%1"" is not valid. Please use only visible characters and spaces."
"Maximum sender name length is 255. Please correct your settings.","Maximum sender name length is 255. Please correct your settings."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","The file you're uploading exceeds the server size limit of %1 kilobytes."
"The base directory to upload file is not specified.","The base directory to upload file is not specified."
"The specified image adapter cannot be used because of: ","The specified image adapter cannot be used because of: "
"Default scope","Default scope"
"Base currency","Base currency"
"Display default currency","Display default currency"
"website(%1) scope","website(%1) scope"
"store(%1) scope","store(%1) scope"
"Currency ""%1"" is used as %2 in %3.","Currency ""%1"" is used as %2 in %3."
"Please correct the timezone.","Please correct the timezone."
"IP Address","Endereço IP"
"Cookie (unsafe)","Cookie (unsafe)"
"Always (during development)","Always (during development)"
"Only Once (version upgrade)","Only Once (version upgrade)"
"Never (production)","Never (production)"
Bcc,Bcc
"Separate Email","Separate Email"
"%1 (Default)","%1 (Default)"
title,title
Optional,Opcional
optional,opcional
Required,Obrigatorio
Website,Website
"File System","Arquivos do Sistema"
Database,Database
"HTTP (unsecure)","HTTP (unsecure)"
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","Yes (302 Found)"
"Yes (301 Moved Permanently)","Yes (301 Moved Permanently)"
Specified,Specified
Order,Pedido
"Order # %1","Pedido #%1"
"Order #%1","Pedido #%1"
"Order #%1 (%2)","Pedido #%1 (%2)"
"Access denied","Accesso negado"
"Please try to log out and sign in again.","Please try to log out and sign in again."
"If you continue to receive this message, please contact the store owner.","If you continue to receive this message, please contact the store owner."
"Access denied.","Access denied."
"Log into Magento Admin Page","Log into Magento Admin Page"
"Magento Admin Panel","Magento Admin Panel"
Welcome,Bem vindo
"User Name:","Nome de Usuario:"
"user name","nome de usuario"
Password:,Senha:
password,senha
"Log in","Log in"
"Select Range:","Select Range:"
"No Data Found","Sem dados"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Gráfico desabilitado. Para habilitar <a href=""%1"">clique aqui</a>."
"Last 5 Orders","Últimos 5 Pedidos"
"Last 5 Search Terms","ùltimos 5 Termos Procurados"
"Top 5 Search Terms","Top 5 de Termos Procurados"
"There are no search keywords.","There are no search keywords."
"View Statistics For:","View Statistics For:"
"All Websites","Todos Websites"
"Shipping Amount","Shipping Amount"
"Browse Files...","Browse Files..."
"Copyright&copy; %1 Magento Commerce Inc. All rights reserved.","Copyright&copy; %1 Magento Commerce Inc. All rights reserved."
"Magento ver. %1","Magento ver. %1"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
"Account Setting","Configurações de Conta"
"Customer View","Visualizar Loja"
"Sign Out","Sair"
"About the calendar","About the calendar"
"Go Today","Hoje"
Previous,Anterior
Next,Próximo
WK,WK
Time,Tempo
Hour,Hora
Minute,Minuto
"Please select an option.","Selecione uma opção."
"Please select an option.","Selecione uma opção"
"This is a required field.","Campo obrigatório."
"Please enter a valid number in this field.","Informe um número válido."
"Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters.","Please enter only numbers (1-9) into this field. Do not use spaces, commas, or any other characters."
"Please enter only letters (a-z) into this field.","Please enter only letters (a-z) into this field."
"Please enter only numbers (0-9) or letters (a-z) into this field.","Please enter only numbers (0-9) or letters (a-z) into this field."
"Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters.","Please enter only numbers or letters into this field. Do not use spaces, commas, or any other characters."
"Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field.","Please enter only letters (a-z), numbers (0-9), spaces and the ""#"" character into this field."
"Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890).","Please enter a valid phone number (for example, (123) 456-7890 or 123-456-7890)."
"Please enter a valid date.","Please enter a valid date."
"Please enter a valid email address(for example johndoe@domain.com.).","Informe um endereço válido(exemplo joao@gmail.com.)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Informe um endereço válido (exemplo joao@gmail.com.)."
"Please enter 6 or more characters.","Please enter 6 or more characters."
"Please make sure your passwords match.","Please make sure your passwords match."
"Please enter a valid URL (for example, the URL must begin with ""http://"").","Please enter a valid URL (for example, the URL must begin with ""http://"")."
"Please enter a valid URL (for examples, http://www.example.com or www.example.com).","Please enter a valid URL (for examples, http://www.example.com or www.example.com)."
"Please enter a valid social security number (for example, 123-45-6789).","Please enter a valid social security number (for example, 123-45-6789)."
"Please enter a valid zip code (for example, 90602 or 90602-1234).","Please enter a valid zip code (for example, 90602 or 90602-1234)."
"Please enter a valid zip code.","Please enter a valid zip code."
"Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006.","Please use this date format: dd/mm/yyyy. For example, enter ""17/03/2006"" to represent March 17, 2006."
"Please enter a valid dollar amount (for example, $100.00).","Please enter a valid dollar amount (for example, $100.00)."
"Please select one of these options.","Please select one of these options."
"Please select State/Province.","Please select State/Province."
"Please enter a valid password.","Please enter a valid password."
"Please enter a number greater than 0 in this field.","Insira um número maior que 0."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please wait, loading...","Aguarde, carregando..."
"JavaScript may be disabled in your browser.","JavaScript may be disabled in your browser."
"To use this website you must first enable JavaScript in your browser.","To use this website you must first enable JavaScript in your browser."
"This is only a demo store. You can browse and place orders, but nothing will be processed.","This is only a demo store. You can browse and place orders, but nothing will be processed."
Scope:,Scope:
"Stores Configuration","Stores Configuration"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Please confirm scope switching. All data that hasn't been saved will be lost."
"Additional Cache Management","Additional Cache Management"
"Flush Catalog Images Cache","Limpar Cache de Catálogo de Imagens"
"Pregenerated product images files","Pregenerated product images files"
"Flush JavaScript/CSS Cache","Limpar Cache de JavaScript/CSS"
"Themes JavaScript and CSS files combined to one file.","Themes JavaScript and CSS files combined to one file."
"Flush Static Files Cache", "Limpar Cache de Arquivos Estáticos"
"Preprocessed view files and static files", "Preprocessed view files and static files"
JavaScript/CSS,JavaScript/CSS
"JavaScript/CSS Cache","Cache de JavaScript/CSS"
"Add after","Add after"
"Current Configuration Scope:","Current Configuration Scope:"
"No records found.","Não há registros."
"Select Category","Selecionar Categorias"
Images,Imagens
"Big Image","Big Image"
Thumbnail,Miniatura
"Additional Settings","Additional Settings"
"Total %1 records found","%1 registros encontrados"
"%1 records found","%1 registros encontrados"
"records found","registros encontrados"
View,Ver
"per page","por página"
Page,Página
"Previous page","Página anterior"
"of %1","de %1"
"Next page","Próxima página"
"Export to:","Exportar para:"
"Actions","Ações"
"Mass Actions","Ações em massa"
"Unselect All","Desmarcar Todos"
"Select Visible","Marcar Visível"
"Unselect Visible","Desmarcar Visível"
"items selected","itens marcados"
"The information in this tab has been changed.","The information in this tab has been changed."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
Loading...,Carregando...
Country,País
City,Cidade
"VAT Number","CPF"
"Street Address","Endereço"
"Street address","Endereço"
"Media Storage","Media Storage"
Admin,Administração
Advanced,Avançado
"Transactional Emails","Emails Transacionais"
"Store Name","Nome da Loja"
"Store Phone Number","Telefone da Loja"
"Region/State","Estado"
"Sender Name","Sender Name"
"Sender Email","Sender Email"
Locale,Localização
"Base URL","URL Base"
"Enable Charts","Enable Charts"
"Secure Base URL","URL Base Segura"
Host,Host
"File extension not known or unsupported type.","File extension not known or unsupported type."
Debug,Debug
"System(config.xml, local.xml) and modules configuration files(config.xml, menu.xml).","System(config.xml, local.xml) and modules configuration files(config.xml, menu.xml)."
Services,Serviços
"Disable Modules Output","Disable Modules Output"
"Store Email Addresses","Emails da Loja"
"Custom Email 1","Personalizado 1"
"Custom Email 2","Personalizado 2"
"General Contact","Contato Geral"
"Sales Representative","Representante de Vendas"
"Customer Support","SAC"
"User-Agent Exceptions","User-Agent Exceptions"
"
                        Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    ","
                        Search strings are either normal strings or regular exceptions (PCRE). They are matched in the same order as entered. Examples:<br /><span style=""font-family:monospace"">Firefox<br />/^mozilla/i</span>
                    "
"Find a string in client user-agent header and switch to specific design theme for that browser.","Find a string in client user-agent header and switch to specific design theme for that browser."
Pagination,Paginação
"Pagination Frame","Pagination Frame"
"How many links to display at once.","How many links to display at once."
"Pagination Frame Skip","Pagination Frame Skip"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","If the current frame position does not cover utmost pages, will render link to current position plus/minus this value."
"Anchor Text for Previous","Anchor Text for Previous"
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternative text for previous link in pagination menu. If empty, default arrow image will used."
"Anchor Text for Next","Anchor Text for Next"
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternative text for next link in pagination menu. If empty, default arrow image will used."
"Logo Image","Logo Image"
"Logo Image Alt","Logo Image Alt"
Developer,Desenvolvedor
"Developer Client Restrictions","Developer Client Restrictions"
"Allowed IPs (comma separated)","Allowed IPs (comma separated)"
"Leave empty for access from any location.","Leave empty for access from any location."
"Template Path Hints","Template Path Hints"
"Add Block Names to Hints","Add Block Names to Hints"
"Template Settings","Template Settings"
"Allow Symlinks","Allow Symlinks"
"Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk.","Warning! Enabling this feature is not recommended on production environments because it represents a potential security risk."
"Translate Inline","Traduzir Inline"
"Enabled for Frontend","Habilitar para Frontend"
"Enabled for Admin","Habilitar para Admin"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Translate, blocks and other output caches should be disabled for both frontend and admin inline translations."
"Log Settings","Log de Configurações"
"System Log File Name","System Log File Name"
"Logging from \Psr\Log\LoggerInterface. File is located in {{base_dir}}/var/log","Logging from \Psr\Log\LoggerInterface. File is located in {{base_dir}}/var/log"
"Exceptions Log File Name","Exceptions Log File Name"
"JavaScript Settings","JavaScript Settings"
"Merge JavaScript Files","Mesclar Arquivos JavaScript"
"Minify JavaScript Files","Minificar Arquivos JavaScript"
"CSS Settings","Configurações CSS"
"Merge CSS Files","Mesclar Arquivos CSS"
"Image Processing Settings","Processando Configurações de Imagens"
"Image Adapter","Image Adapter"
"Static Files Settings","Configurações de Arquivos Estáticos"
"Sign Static Files","Sign Static Files"
"Country Options","Opções de País"
"Allow Countries","Países Permitidos"
"Default Country","País Padrão"
"European Union Countries","Países da União Europeia"
"Locale Options","Opções de Localização"
"Timezone","Fuso Horário"
"First Day of Week","Primeiro Dia da Semana"
"Weekend Days","Fins de Semana"
"Zip/Postal Code","CEP"
"Street Address Line 2","Número"
"Single-Store Mode","Modo Loja Única"
"Enable Single-Store Mode","Ativar Modo Loja Única"
"This setting will not be taken into account if system has more than one store view.","Essa função não funcionará se houver mais de uma Visão de Loja."
"Mail Sending Settings","Mail Sending Settings"
"Disable Email Communications","Disable Email Communications"
"Port (25)","Porta (25)"
"Set Return-Path","Set Return-Path"
"Return-Path Email","Return-Path Email"
"Storage Configuration for Media","Storage Configuration for Media"
"Select Media Database","Select Media Database"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Environment Update Time"
"Admin User Emails","Admin User Emails"
"Forgot Password Email Template","Forgot Password Email Template"
"Forgot and Reset Email Sender","Forgot and Reset Email Sender"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Please enter a number 1 or greater in this field.","Please enter a number 1 or greater in this field."
"Startup Page","Startup Page"
"Admin Base URL","Admin Base URL"
"Use Custom Admin URL","Use Custom Admin URL"
"Custom Admin URL","Custom Admin URL"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Use Custom Admin Path","Use Custom Admin Path"
"Custom Admin Path","Custom Admin Path"
"You will have to log in after you save your custom admin path.","You will have to log in after you save your custom admin path."
Security,Security
"Add Secret Key to URLs","Add Secret Key to URLs"
"Login is Case Sensitive","Login is Case Sensitive"
"Admin Session Lifetime (seconds)","Admin Session Lifetime (seconds)"
"Values less than 60 are ignored.","Values less than 60 are ignored."
Web,Web
"Url Options","Opções de URL"
"Add Store Code to Urls","Adicionar Código da Loja na URL"
"<strong style=""color:red"">Warning!</strong> When using Store Code in URLs, in some cases system may not work properly if URLs without Store Codes are specified in the third party services (e.g. PayPal etc.).","<strong style=""color:red"">Atenção!</strong> Se esta opção estiver habilitada o sistema pode não responder caso a URL esteja sendo usada por serviços externos como PagSeguro, Paypal, etc."
"Auto-redirect to Base URL","Redirecionamento para Página Inicial"
"I.e. redirect from http://example.com/store/ to http://www.example.com/store/","Exemplo: domínio sem www redireciona para domínio com www."
"Search Engine Optimization","Search Engine Optimization"
"Use Web Server Rewrites","Usar Reescrita do Servidor"
"Base URLs","URLs Base"
"Specify URL or {{base_url}} placeholder.","Informe uma URL ou use a variável {{base_url}}."
"Base Link URL","Base Link URL"
"Base URL for Static View Files","Base URL for Static View Files"
"May be empty or start with {{unsecure_base_url}} placeholder.","Informe uma URL ou use a variável {{unsecure_base_url}}."
"Base URL for User Media Files","Base URL for User Media Files"
"Base URLs (Secure)","Base URLs (Secure)"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Informe uma URL ou use a variável {{base_url}} ou {{unsecure_base_url}}."
"Secure Base Link URL","Secure Base Link URL"
"Secure Base URL for Static View Files","Secure Base URL for Static View Files"
"May be empty or start with {{secure_base_url}}, or {{unsecure_base_url}} placeholder.","Informe uma URL ou use a variável  {{secure_base_url}} ou {{unsecure_base_url}}."
"Secure Base URL for User Media Files","Secure Base URL for User Media Files"
"Use Secure URLs in Frontend","Use Secure URLs in Frontend"
"Use Secure URLs in Admin","Use Secure URLs in Admin"
"Offloader header","Offloader header"
"Default Pages","Default Pages"
"Default Web URL","Default Web URL"
"Default No-route URL","Default No-route URL"
"Default Cookie Settings","Default Cookie Settings"
"Cookie Lifetime","Cookie Lifetime"
"Cookie Path","Cookie Path"
"Cookie Domain","Cookie Domain"
"Use HTTP Only","Use HTTP Only"
"Cookie Restriction Mode","Cookie Restriction Mode"
"Session Validation Settings","Session Validation Settings"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Use SID on Frontend","Use SID on Frontend"
"Allows customers to stay logged in when switching between different stores.","Allows customers to stay logged in when switching between different stores."
"Cache Type","Cache Type"
Tags,Tags
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"Variable ID","Variable ID"
Options,Options
"Magento Admin","Magento Admin"
"Community Edition","Community Edition"
"Last Orders","Últimos Pedidos"
"Last Search Terms","Últimas Buscas"
"Top Search Terms","Principais Buscas"
"Your Password","Sua Senha"
"You saved the account.","Você salvou a conta."
"Current User Identity Verification","Current User Identity Verification"
Marketing,Marketing
Communications,Comunicação
"SEO & Search","SEO & Busca"
"User Content","Conteúdo do Usuário"
"Data Transfer","Data Transfer"
"Import History","Histórico de Importação"
Extensions,Extensões
"Web Setup Wizard","Web Setup Wizard"
"VAT number","CPF"
"Top destinations","Destinos Principais"
"Store Hours of Operation","Hora de Funcionamento"
"Store Hours","Hora de Funcionamento"
"Any of the fields allow fully qualified URLs that end with '/' (slash) e.g. http://example.com/magento/","Os links devem terminar com '/'"
