"Gift Card Accounts","Contas Cartão Presentes"
"This won't take long . . .","Isso não demorará muito . . ."
"Enter gift card code","Informe o código do cartão presente"
"Redeem Gift Card","Resgatar Cartão Presente"
"Check status and balance","Verifique o status e o saldo"
"Have a gift card? ","Você tem Cartão Presente? "
"Click here","Clique aqui"
" to redeem it."," para resgatar ele."
"Enter the gift card code","Informe o código do cartão presente"
"Check Gift Card status and balance","Verifique o status e o saldo do Cartão Presente"
"Gift Card: ","Cartão Presente: "
"Current Balance: ","Saldo Atual: "
"Expires: ","Expira: "
"Please enter a valid gift card code.","Informe um código do cartão presente válido."
"Add or remove gift cards","Add ou remover cartões presentes"
"Gift Card amount applied to order:","Valor do Cartão Presente aplicado para o pedido:"
"You've been sent a gift from %store_name","Você recebeu um cartão presente de %store_name"
"%name,","%nome,"
"You've been sent a gift card for use at %store_name and it is now ready to be used for purchases.","Você recebeu um cartão de presente para uso em %store_name e agora está pronto para ser usado para compras."
"Gift Card Code: %code","Código do Cartão Presente: %code"
"The card has a balance of %balance and can be used at ","O cartão possui um saldo de %balance e pode ser usado em "
%store_name,%store_name
"Apply Gift Card","Aplicar Cartão Presente"
"Gift Card:","Cartão Presente:"
Apply,Aplicar
"See Balance","Ver Saldo"
"Gift Card amount applied to order: ","Valor do cartão de presente aplicado ao pedido: "
"Email Sent from Gift Card Account Management","E-mail enviado pela Gestão de contas de cartão-presente"
"Gift Card Email Sender","Cartão de presente remetente de e-mail"
"Gift Card Template","Template do Cartão Presente"
"Gift Card Account General Settings","Configurações gerais da conta do cartão de presente"
"Code Length","Tamanho do Código"
"Excluding prefix, suffix and separators.","Excluindo prefixo, sufixo e separadores."
"Code Format","Formato do Código"
"Code Prefix","Prefixo do Código"
"Code Suffix","Sufixo do Código"
"Dash Every X Characters","Traço a cada X caracteres"
"if empty no separation","se vazio sem separação"
"New Pool Size","Novo tamanho de grupo de códigos"
"Low Code Pool Threshold","Limite de grupo de códigos baixos"
"IMPORTANT: Be sure to save your configuration before running generation process.","IMPORTANTE: Certifique-se de salvar sua configuração antes de executar o processo de geração."
CSV,CSV
"Excel XML","Excel XML"
"Are you sure you want to delete these gift card accounts?","Tem certeza de que deseja excluir essas contas de cartão presente?"
Code,Código
End,Fim
